-0.073 -0.189 -0.054 14
-0.082 -0.212 -0.061 14
-0.087 -0.215 -0.062 20
-0.097 -0.237 -0.069 17
-0.426 -0.763 -0.234 17
-0.438 -0.779 -0.239 32
-0.438 -0.773 -0.238 49
-0.443 -0.776 -0.239 53
-0.446 -0.774 -0.239 55
-0.446 -0.769 -0.238 55
-0.448 -0.767 -0.238 55
-0.451 -0.766 -0.238 56
-0.453 -0.764 -0.238 55
-0.443 -0.742 -0.232 57
-0.446 -0.741 -0.232 54
-0.446 -0.735 -0.23 57
-0.451 -0.738 -0.232 59
-0.453 -0.736 -0.232 58
-0.44 -0.71 -0.224 58
-0.448 -0.717 -0.226 57
-0.445 -0.70 -0.224 55
-0.447 -0.706 -0.224 53
-0.447 -0.7 -0.223 52
-0.452 -0.703 -0.224 52
-0.441 -0.681 -0.217 53
-0.446 -0.683 -0.219 57
-0.454 -0.69 -0.221 59
-0.448 -0.676 -0.217 64
-0.45 -0.675 -0.217 70
-0.45 -0.669 -0.216 73
-0.447 -0.66 -0.214 100
-0.443 -0.65 -0.211 100
-0.448 -0.653 -0.212 100
-0.45 -0.652 -0.212 73
-0.453 -0.65 -0.212 73
-0.452 -0.645 -0.211 65
-0.454 -0.643 -0.211 60
-0.451 -0.634 -0.208 54
-0.447 -0.624 -0.206 51
-0.446 -0.619 -0.204 50
-0.448 -0.617 -0.204 50
-0.45 -0.616 -0.204 50
-0.441 -0.599 -0.199 49
-0.449 -0.605 -0.202 49
-0.454 -0.608 -0.203 48
-0.441 -0.587 -0.197 48
-0.44 -0.581 -0.195 50
-0.451 -0.591 -0.199 51
-0.444 -0.578 -0.195 56
-0.452 -0.585 -0.198 63
-0.448 -0.576 -0.195 71
-0.438 -0.559 -0.19 100
-0.434 -0.55 -0.188 100
-0.433 -0.545 -0.186 100
-0.449 -0.562 -0.193 101
-0.451 -0.561 -0.193 102
-0.456 -0.563 -0.194 101
-0.443 -0.543 -0.188 101
-0.445 -0.541 -0.188 100
-0.437 -0.528 -0.184 100
-0.448 -0.538 -0.188 63
-0.447 -0.533 -0.186 60
-0.449 -0.531 -0.186 58
-0.447 -0.526 -0.185 52
-0.446 -0.521 -0.184 49
-0.438 -0.509 -0.18 48
-0.421 -0.485 -0.172 32
-0.426 -0.488 -0.173 31
-0.421 -0.479 -0.171 38
-0.413 -0.467 -0.167 48
-0.414 -0.465 -0.167 39
-0.416 -0.464 -0.167 35
-0.414 -0.459 -0.166 32
-0.403 -0.443 -0.16 35
-0.411 -0.449 -0.163 32
-0.406 -0.441 -0.16 29
-0.414 -0.446 -0.163 24
-0.399 -0.427 -0.157 24
-0.377 -0.401 -0.148 19
